"Source:","/home/ch/src/ham_radio/cutoff/cutoff.kicad_sch"
"Date:","Mon 15 Feb 2021 08:18:27 PM PST"
"Tool:","Eeschema 5.99.0-unknown-379c28340f~115~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"","","C2","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"","","C3","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"","","C4","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"","","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Blade_Mini_Keystone_3568","~","","","","","","","","",""
"","","H1","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"","","H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"","","H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"","","H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"","","H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"","","J1","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J2","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J3","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J4","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J5","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J6","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J7","Conn_01x02","Connector_Generic:Conn_01x02","connectors_anderson:45A-VERT-PAIR","~","","","","","","","","",""
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","",""
"","","J9","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","",""
"","","J10","Conn_01x02","Connector_Generic:Conn_01x02","connectors_anderson:45A-VERT-PAIR","~","","","","","","","","",""
"","","J11","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J12","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J13","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J14","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J15","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","J16","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"","","R1","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"","","R2","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"","","R3","20K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"","","R4","*0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"","","R5","2M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"","","RV1","100K","Device:R_Potentiometer_Trim","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical","~","","","","","","","","",""
"","","RV2","5K","Device:R_Potentiometer_Trim","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical","~","","","","","","","","",""
"","","U1","TPS3700DDCR","dk_Linear-Comparators:TPS3700DDCR","digikey-footprints:SOT-23-6","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps3700","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps3700","/product-detail/en/texas-instruments/TPS3700DDCR/296-30395-1-ND/3250123","IC COMP WINDOW W/REF 6SOT","296-30395-1-ND","Linear - Comparators","TPS3700DDCR","Texas Instruments","Active"
"","","U2","BTS50010-1TAD","Power_Management:BTS50010-1TAD","Package_TO_SOT_SMD:TO-263-7_TabPin4","https://www.infineon.com/dgdl/Infineon-BTS50010-1TAD-DS-v01_00-EN.pdf?fileId=5546d462576f34750157c38810ca55cd","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","2","C1, C2","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"2","2","C3, C4","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"3","1","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Blade_Mini_Keystone_3568","~","","","","","","","","",""
"4","5","H1, H2, H3, H4, H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","",""
"5","12","J1, J2, J3, J4, J5, J6, J11, J12, J13, J14, J15, J16","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","","","","","","","","",""
"6","2","J7, J10","Conn_01x02","Connector_Generic:Conn_01x02","connectors_anderson:45A-VERT-PAIR","~","","","","","","","","",""
"7","2","J8, J9","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","",""
"8","1","R1","1M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"9","1","R2","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"10","1","R3","20K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"11","1","R4","*0","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"12","1","R5","2M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"13","1","RV1","100K","Device:R_Potentiometer_Trim","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical","~","","","","","","","","",""
"14","1","RV2","5K","Device:R_Potentiometer_Trim","Potentiometer_SMD:Potentiometer_Bourns_3224X_Vertical","~","","","","","","","","",""
"15","1","U1","TPS3700DDCR","dk_Linear-Comparators:TPS3700DDCR","digikey-footprints:SOT-23-6","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps3700","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps3700","/product-detail/en/texas-instruments/TPS3700DDCR/296-30395-1-ND/3250123","IC COMP WINDOW W/REF 6SOT","296-30395-1-ND","Linear - Comparators","TPS3700DDCR","Texas Instruments","Active"
"16","1","U2","BTS50010-1TAD","Power_Management:BTS50010-1TAD","Package_TO_SOT_SMD:TO-263-7_TabPin4","https://www.infineon.com/dgdl/Infineon-BTS50010-1TAD-DS-v01_00-EN.pdf?fileId=5546d462576f34750157c38810ca55cd","","","","","","","","",""
